event_name,casualties,wounded,killed,city,state,location_type,rifles,shotguns,handguns,explosives,date_time,shooter_age,shooter_gender
"Kroger Grocery Store in Jeffersontown, Kentucky",2,0,2,Jeffersontown,Kentucky,Commerce,0,0,1,0,2018-10-24T15:00:00Z,51,Male
LA Fitness,12,9,3,Collier Township,Pennsylvania,Commerce,0,0,3,0,2009-08-04T19:56:00Z,48,Male
La Jolla Crossroads Apartment Complex,8,7,1,San Diego,California,Residence,0,0,1,0,2017-04-30T18:00:00Z,49,Male
Labor Ready Inc,5,4,1,Huntsville,Alabama,Commerce,0,0,1,0,2003-02-25T06:25:00Z,23,Male
Laidlaw Transit Services Maintenance Yard,4,3,1,San Jose,California,Commerce,0,0,1,0,2001-04-23T06:00:00Z,36,Female
"Lake Butler, Florida",4,2,2,Lake Butler,Florida,Open Space,1,1,0,0,2013-08-24T09:20:00Z,72,Male
Larose-Cut Off Middle School,0,0,0,Cut Off,Louisiana,Education,0,0,1,0,2009-05-18T09:00:00Z,15,Male
Las Dominicanas M&M Hair Salon,4,1,3,Casselberry,Florida,Commerce,0,0,1,0,2012-10-18T11:09:00Z,36,Male
Las Vegas Bus,2,1,1,Las Vegas,Nevada,Other,0,0,1,0,2017-03-25T10:45:00Z,55,Male
"Law Street in Houston, Texas",9,9,0,Houston,Texas,Open Space,0,0,1,0,2016-09-26T06:30:00Z,46,Male
Legacy Metrolab,3,2,1,Tualatin,Oregon,Commerce,1,1,1,0,2009-11-10T00:00:00Z,39,Male
Lehigh Southwest Cement Plant,10,7,3,Cupertino,California,Commerce,2,1,1,0,2011-10-05T04:15:00Z,49,Male
Liberty Transportation,2,0,2,Perrysburg,Ohio,Commerce,2,0,2,0,2007-08-08T15:15:00Z,43,Male
Living Church of God,11,4,7,Brookfield,Wisconsin,House of Worship,0,0,1,0,2005-03-12T12:51:00Z,44,Male
Lloyd D. George U.S. Courthouse and Federal Building,2,1,1,Las Vegas,Nevada,Government,0,1,0,0,2010-01-04T08:02:00Z,66,Male
Lockheed Martin Subassembly Plant,14,8,6,Meridian,Mississippi,Commerce,1,1,0,0,2003-07-08T09:30:00Z,48,Male
Los Angeles Internation Airport,4,3,1,Los Angeles,California,Government,1,0,0,0,2013-11-01T09:18:00Z,23,Male
Louie's Lakeside Eatery,4,4,0,Oklahoma City,Oklahoma,Commerce,0,0,1,0,2018-05-24T18:30:00Z,28,Male
Louisiana Technical College,2,0,2,Baton Rouge,Louisiana,Education,0,0,1,0,2008-02-08T08:35:00Z,23,Female
Madison Junior/Senior High School,4,4,0,Middletown,Ohio,Education,0,0,1,0,2016-02-29T11:30:00Z,14,Male
"Marathon Savings Bank and Tlusty, Kennedy & Dirks, S.C.",4,0,4,Rothschild,Wisconsin,Commerce,1,0,1,0,2017-03-22T12:27:00Z,45,Male
Marjory Stoneman Douglas High School,34,17,17,Parkland,Florida,Education,1,0,0,0,2018-02-14T14:30:00Z,19,Male
Marshall County High School,23,21,2,Benton,Kentucky,Education,0,0,1,0,2018-01-23T07:57:00Z,15,Male
Martin's Supermarket,2,0,2,Elkhart,Indiana,Commerce,0,0,1,0,2014-01-15T22:09:00Z,22,Male
Marysville-Pilchuck High School,7,3,4,Marysville,Washington,Education,0,0,1,0,2014-10-24T10:39:00Z,15,Male
Masontown Borough Municipal Center,4,4,0,Masontown,Pennsylvania,Government,0,0,1,0,2018-09-19T14:00:00Z,61,Male
McBride Lumber Company,4,1,3,Star,North Carolina,Commerce,0,1,0,0,2012-01-13T06:10:00Z,50,Male
Melbourne Square Mall,2,1,1,Melbourne,Florida,Commerce,0,0,3,0,2015-01-17T09:31:00Z,57,Male
Memorial Middle School,0,0,0,Joplin,Missouri,Education,1,0,1,0,2006-10-09T07:40:00Z,13,Male
Memorial Tire and Auto,7,6,1,Houston,Texas,Commerce,1,0,1,0,2016-05-29T10:15:00Z,25,Male
Mercy Hospital & Medical Center,3,0,3,Chicago,Illinois,Health Care,0,0,1,0,2018-11-19T15:20:00Z,32,Male
Middletown City Court,1,1,0,Middletown,New York,Government,0,1,0,0,2012-02-08T09:05:00Z,43,Male
Millard South High School,2,1,1,Omaha,Nebraska,Education,0,0,1,0,2011-01-05T12:44:00Z,17,Male
Minaret Temple 174,10,8,2,Chester,Philadelphia,Commerce,0,0,1,0,2011-04-08T23:27:00Z,16,Male
Modine Manufacturing Company,8,5,3,Jefferson City,Missouri,Commerce,0,0,1,0,2003-07-01T22:28:00Z,25,Male
Monroeville Mall,3,3,0,Monroeville,Pennsylvania,Commerce,0,0,1,0,2015-02-07T19:33:00Z,17,Male
"Motel 6 in Albuquerque, New Mexico",0,0,0,Albuquerque,New Mexico,Commerce,1,0,0,0,2018-12-24T11:00:00Z,35,Male
Multiple Locations in Baltimore Maryland,3,3,0,Baltimore,Maryland,Open Space,1,0,1,0,2017-12-15T14:55:00Z,30,Male
"Multiple Locations in Clearlake Oaks, California",5,3,2,Clearlake Oaks,California,Commerce,0,1,1,0,2017-10-23T11:23:00Z,61,Male
"Multiple Locations in Fresno, California",3,0,3,Fresno,California,Open Space,0,0,1,0,2017-04-18T10:45:00Z,39,Male
"Multiple Locations in Isla Vista, California",20,14,6,Isla Vista,California,Open Space,0,0,1,0,2014-05-23T21:27:00Z,22,Male
"Multiple Locations in Joplin, Missouri",5,5,0,Joplin,Missouri,Open Space,1,0,1,0,2016-08-13T05:08:00Z,26,Male
"Multiple Locations in Kalamazoo, Michigan",8,2,6,Kalamazoo,Michigan,Open Space,0,0,1,0,2016-02-20T17:40:00Z,45,Male
"Multiple Locations in Mesa, Arizona",6,5,1,Mesa,Arizona,Open Space,0,0,1,0,2015-03-18T08:39:00Z,41,Male
"Multiple Locations in Moscow, Idaho",4,1,3,Moscow,Idaho,Open Space,NA,NA,NA,NA,2015-01-10T14:31:00Z,29,Male
"Multiple Locations in Owosso, Michigan",2,0,2,Owosso,Michigan,Open Space,0,0,3,0,2009-09-11T07:20:00Z,33,Male
"Multiple Locations in Philadelphia, Pennsylvania",6,5,1,Philadelphia,Pennsylvania,Open Space,0,0,1,0,2016-09-16T23:15:00Z,25,Male
Navistar International Corporation Factory,8,4,4,Melrose Park,Illinois,Commerce,2,1,1,0,2019-02-05T09:40:00Z,57,Male
"Neighborhood in Colorado Springs, Colorado",3,0,3,Colorado Springs,Colorado,Open Space,1,0,2,0,2015-10-31T08:55:00Z,33,Male
"Neighborhood in Tallahassee, Florida",2,1,1,Tallahassee,Florida,Residence,0,0,1,0,2014-11-22T10:15:00Z,53,Male
New Hope City Hall,4,4,0,New Hope,Minnesota,Government,0,1,0,0,2015-01-26T19:15:00Z,68,Male
"New River Community College, Satellite Campus",2,2,0,Christiansburg,Virgina,Education,0,1,0,0,2013-04-12T13:55:00Z,22,Male
Noblesville West Middle School,2,2,0,Noblesville,Indiana,Education,0,0,2,0,2018-05-25T09:06:00Z,13,Male
