Active Shooter Event,Active Shooter Casualties,Active Shooter Wounded,Active Shooter Killed,City,State,Location Type,Rifles,Shotguns,Handguns,Explosives,Date,Time ,Age of Shooter,Gender of Shooter
Jewish Community Center of Greater Kansas City and Village Shalom Retirement Community,3,0,3,Overland Park,Kansas,House of Worship,0,1,2,0,4/13/2014,1:00:00 AM,73,Male
Jewish Federation of Greater Seattle,6,5,1,Seattle,Washington,House of Worship,0,0,2,0,7/28/2006,4:00:00 PM,30,Male
John's Barbershop and Gaffey's Clean Car Center,6,2,4,Herkimer,New York,Commerce,0,1,0,0,3/13/2013,9:30:00 AM,64,Male
Kanawha County Board of Education,1,1,0,Charleston,West Virginia,Education,2,0,2,0,7/17/2003,7:00:00 PM,58,Male
Kelly Elementary School,2,2,0,Carlsbad,California,Education,0,0,1,0,10/8/2010,12:10:00 PM,41,Male
Kenyon Press,3,3,0,Signal Hill,California,Commerce,0,0,1,0,3/5/2007,9:00:00 AM,68,Male
Kirkwood City Hall,6,0,6,Kirkwood,Missouri,Government,0,0,2,0,2/7/2008,7:00:00 PM,52,Male
Kkottongnae Retreat Camp,3,2,1,Temecula,California,House of Worship,0,0,1,0,4/7/2009,7:23:00 PM,69,Male
Knight Transportation Building,3,2,1,Katy,Texas,Commerce,0,1,1,0,5/4/2016,8:45:00 AM,65,Male
Kraft Foods Factory,3,1,2,Philadelphia,Pennsylvania,Commerce,0,0,1,0,9/9/2010,8:35:00 PM,43,Female
"Kroger Grocery Store in Jeffersontown, Kentucky",2,0,2,Jeffersontown,Kentucky,Commerce,0,0,1,0,10/24/2018,3:00:00 PM,51,Male
LA Fitness,12,9,3,Collier Township,Pennsylvania,Commerce,0,0,3,0,8/4/2009,7:56:00 PM,48,Male
La Jolla Crossroads Apartment Complex,8,7,1,San Diego,California,Residence,0,0,1,0,4/30/2017,6:00:00 PM,49,Male
Labor Ready Inc,5,4,1,Huntsville,Alabama,Commerce,0,0,1,0,2/25/2003,6:25:00 AM,23,Male
Laidlaw Transit Services Maintenance Yard,4,3,1,San Jose,California,Commerce,0,0,1,0,4/23/2001,6:00:00 AM,36,Female
"Lake Butler, Florida",4,2,2,Lake Butler,Florida,Open Space,1,1,0,0,8/24/2013,9:20:00 AM,72,Male
Larose-Cut Off Middle School,0,0,0,Cut Off,Louisiana,Education,0,0,1,0,5/18/2009,9:00:00 AM,15,Male
Las Dominicanas M&M Hair Salon,4,1,3,Casselberry,Florida,Commerce,0,0,1,0,10/18/2012,11:09:00 AM,36,Male
Las Vegas Bus,2,1,1,Las Vegas,Nevada,Other,0,0,1,0,3/25/2017,10:45:00 AM,55,Male
"Law Street in Houston, Texas",9,9,0,Houston,Texas,Open Space,0,0,1,0,9/26/2016,6:30:00 AM,46,Male
Legacy Metrolab,3,2,1,Tualatin,Oregon,Commerce,1,1,1,0,11/10/2009,12:00:00 AM,39,Male
Lehigh Southwest Cement Plant,10,7,3,Cupertino,California,Commerce,2,1,1,0,10/5/2011,4:15:00 AM,49,Male
Liberty Transportation,2,0,2,Perrysburg,Ohio,Commerce,2,0,2,0,8/8/2007,3:15:00 PM,43,Male
Living Church of God,11,4,7,Brookfield,Wisconsin,House of Worship,0,0,1,0,3/12/2005,12:51:00 PM,44,Male
Lloyd D. George U.S. Courthouse and Federal Building,0,1,1,Las Vegas,Nevada,Government,0,1,0,0,1/4/2010,8:02:00 AM,66,Male
Lockheed Martin Subassembly Plant,14,8,6,Meridian,Mississippi,Commerce,1,1,0,0,7/8/2003,9:30:00 AM,48,Male
Los Angeles Internation Airport,4,3,1,Los Angeles,California,Government,1,0,0,0,11/1/2013,9:18:00 AM,23,Male
Louie's Lakeside Eatery,4,4,0,Oklahoma City,Oklahoma,Commerce,0,0,1,0,5/24/2018,6:30:00 PM,28,Male
Louisiana Technical College,2,0,2,Baton Rouge,Louisiana,Education,0,0,1,0,2/8/2008,8:35:00 AM,23,Female
Madison Junior/Senior High School,4,4,0,Middletown,Ohio,Education,0,0,1,0,2/29/2016,11:30:00 AM,14,Male
"Marathon Savings Bank and Tlusty, Kennedy & Dirks, S.C.",4,0,4,Rothschild,Wisconsin,Commerce,1,0,1,0,3/22/2017,12:27:00 PM,45,Male
Marjory Stoneman Douglas High School,34,17,17,Parkland,Florida,Education,1,0,0,0,2/14/2018,2:30:00 PM,19,Male
Marshall County High School,23,21,2,Benton,Kentucky,Education,0,0,1,0,1/23/2018,7:57:00 AM,15,Male
Martin's Supermarket,2,0,2,Elkhart,Indiana,Commerce,0,0,1,0,1/15/2014,10:09:00 PM,22,Male
Marysville-Pilchuck High School,7,3,4,Marysville,Washington,Education,0,0,1,0,10/24/2014,10:39:00 AM,15,Male
Masontown Borough Municipal Center,4,4,0,Masontown,Pennsylvania,Government,0,0,1,0,9/19/2018,2:00:00 PM,61,Male
McBride Lumber Company,4,1,3,Star,North Carolina,Commerce,0,1,0,0,1/13/2012,6:10:00 AM,50,Male
Melbourne Square Mall,2,1,1,Melbourne,Florida,Commerce,0,0,3,0,1/17/2015,9:31:00 AM,57,Male
Memorial Middle School,0,0,0,Joplin,Missouri,Education,1,0,1,0,10/9/2006,7:40:00 AM,13,Male
Memorial Tire and Auto,7,6,1,Houston,Texas,Commerce,1,0,1,0,5/29/2016,10:15:00 AM,25,Male
Mercy Hospital & Medical Center,3,0,3,Chicago,Illinois,Health Care,0,0,1,0,11/19/2018,3:20:00 PM,32,Male
Middletown City Court,1,1,0,Middletown,New York,Government,0,1,0,0,2/8/2012,9:05:00 AM,43,Male
Millard South High School,2,1,1,Omaha,Nebraska,Education,0,0,1,0,1/5/2011,12:44:00 PM,17,Male
Minaret Temple 174,10,8,2,Chester,Philadelphia,Commerce,0,0,1,0,4/8/2011,11:27:00 PM,16,Male
Modine Manufacturing Company,8,5,3,Jefferson City,Missouri,Commerce,0,0,1,0,7/1/2003,10:28:00 PM,25,Male
Monroeville Mall,3,3,0,Monroeville,Pennsylvania,Commerce,0,0,1,0,2/7/2015,7:33:00 PM,17,Male
"Motel 6 in Albuquerque, New Mexico",0,0,0,Albuquerque,New Mexico,Commerce,1,0,0,0,12/24/2018,11:00:00 AM,35,Male
Multiple Locations in Baltimore Maryland,3,3,0,Baltimore,Maryland,Open Space,1,0,1,0,12/15/2017,2:55:00 PM,30,Male
"Multiple Locations in Clearlake Oaks, California",5,3,2,Clearlake Oaks,California,Commerce,0,1,1,0,10/23/2017,11:23:00 AM,61,Male
"Multiple Locations in Fresno, California",3,0,3,Fresno,California,Open Space,0,0,1,0,4/18/2017,10:45:00 AM,39,Male
"Multiple Locations in Isla Vista, California",20,14,6,Isla Vista,California,Open Space,0,0,1,0,5/23/2014,9:27:00 PM,22,Male
"Multiple Locations in Joplin, Missouri",5,5,0,Joplin,Missouri,Open Space,1,0,1,0,8/13/2016,5:08:00 AM,26,Male
"Multiple Locations in Kalamazoo, Michigan",8,2,6,Kalamazoo,Michigan,Open Space,0,0,1,0,2/20/2016,5:40:00 PM,45,Male
"Multiple Locations in Mesa, Arizona",6,5,1,Mesa,Arizona,Open Space,0,0,1,0,3/18/2015,8:39:00 AM,41,Male
"Multiple Locations in Moscow, Idaho",4,1,3,Moscow,Idaho,Open Space,,,,,1/10/2015,2:31:00 PM,29,Male
"Multiple Locations in Owosso, Michigan",2,0,2,Owosso,Michigan,Open Space,0,0,3,0,9/11/2009,7:20:00 AM,33,Male
"Multiple Locations in Philadelphia, Pennsylvania",6,5,1,Philadelphia,Pennsylvania,Open Space,0,0,1,0,9/16/2016,11:15:00 PM,25,Male
Navistar International Corporation Factory,8,4,4,Melrose Park,Illinois,Commerce,2,1,1,0,2/5/2019,9:40:00 AM,57,Male
"Neighborhood in Colorado Springs, Colorado",3,0,3,Colorado Springs,Colorado,Open Space,1,0,2,0,10/31/2015,8:55:00 AM,33,Male
